,EMPLOYEE_ID,SALARY,AVG SALARY,SALARY_CATEGORY
0,198,2600,6182.32,low
1,199,2600,6182.32,low
2,200,4400,6182.32,low
3,201,13000,6182.32,high
4,202,6000,6182.32,low
5,203,6500,6182.32,high
6,204,10000,6182.32,high
7,205,12008,6182.32,high
8,206,8300,6182.32,high
9,100,24000,6182.32,high
10,101,17000,6182.32,high
11,102,17000,6182.32,high
12,103,9000,6182.32,high
13,104,6000,6182.32,low
14,105,4800,6182.32,low
15,106,4800,6182.32,low
16,107,4200,6182.32,low
17,108,12008,6182.32,high
18,109,9000,6182.32,high
19,110,8200,6182.32,high
20,111,7700,6182.32,high
21,112,7800,6182.32,high
22,113,6900,6182.32,high
23,114,11000,6182.32,high
24,115,3100,6182.32,low
25,116,2900,6182.32,low
26,117,2800,6182.32,low
27,118,2600,6182.32,low
28,119,2500,6182.32,low
29,120,8000,6182.32,high
30,121,8200,6182.32,high
31,122,7900,6182.32,high
32,123,6500,6182.32,high
33,124,5800,6182.32,low
34,125,3200,6182.32,low
35,126,2700,6182.32,low
36,127,2400,6182.32,low
37,128,2200,6182.32,low
38,129,3300,6182.32,low
39,130,2800,6182.32,low
40,131,2500,6182.32,low
41,132,2100,6182.32,low
42,133,3300,6182.32,low
43,134,2900,6182.32,low
44,135,2400,6182.32,low
45,136,2200,6182.32,low
46,137,3600,6182.32,low
47,138,3200,6182.32,low
48,139,2700,6182.32,low
49,140,2500,6182.32,low
